Beverage,Beverage_category,Beverage_prep,Milk_type,Calories,Total Fat (g),Trans Fat (g) ,Saturated Fat (g),Sodium (mg),Total Carbohydrates (g) ,Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV),Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Beverage_size,Beverage_category_Coffee,Beverage_category_Espresso Drink,Beverage_category_Frappuccino,Beverage_category_Shaken Iced Beverages,Beverage_category_Smoothies,Beverage_category_Tazo® Tea Drinks,Milk_type_No Milk,Milk_type_Nonfat Milk
Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Venti,Nonfat Milk,330,0.1,0.1,0.0,5,290,78,0,77,5.0,10%,0%,15%,2%,130,3,False,False,True,False,False,False,False,True
Java Chip (Without Whipped Cream),Frappuccino® Blended Coffee,Tall,Nonfat Milk,220,3.0,2.0,0.0,0,170,47,1,44,4.0,4%,0%,10%,20%,75,1,False,False,True,False,False,False,False,True
Java Chip (Without Whipped Cream),Frappuccino® Blended Coffee,Grande,Nonfat Milk,310,4.0,3.0,0.0,0,250,67,2,62,5.0,6%,0%,10%,25%,110,2,False,False,True,False,False,False,False,True
Java Chip (Without Whipped Cream),Frappuccino® Blended Coffee,Venti,Nonfat Milk,420,5.0,4.0,0.0,5,340,90,2,84,7.0,10%,0%,20%,35%,145,3,False,False,True,False,False,False,False,True
Coffee,Frappuccino® Light Blended Coffee,Tall,Nonfat Milk,90,0.1,0.0,0.0,0,160,20,0,19,3.0,4%,0%,10%,0%,70,1,False,False,True,False,False,False,False,True
Coffee,Frappuccino® Light Blended Coffee,Grande,Nonfat Milk,120,0.1,0.1,0.0,0,210,26,0,26,3.0,6%,0%,10%,0%,95,2,False,False,True,False,False,False,False,True
Coffee,Frappuccino® Light Blended Coffee,Venti,Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,8%,0%,15%,2%,120,3,False,False,True,False,False,False,False,True
Mocha,Frappuccino® Light Blended Coffee,Tall,Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,4%,0%,8%,6%,70,1,False,False,True,False,False,False,False,True
Mocha,Frappuccino® Light Blended Coffee,Grande,Nonfat Milk,150,1.0,0.5,0.0,0,200,33,1,30,4.0,6%,0%,10%,8%,95,2,False,False,True,False,False,False,False,True
Mocha,Frappuccino® Light Blended Coffee,Venti,Nonfat Milk,210,1.0,0.5,0.0,5,280,46,1,42,6.0,8%,0%,15%,10%,130,3,False,False,True,False,False,False,False,True
Caramel,Frappuccino® Light Blended Coffee,Tall,Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,4%,0%,8%,0%,65,1,False,False,True,False,False,False,False,True
Caramel,Frappuccino® Light Blended Coffee,Grande,Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,6%,0%,10%,0%,90,2,False,False,True,False,False,False,False,True
Caramel,Frappuccino® Light Blended Coffee,Venti,Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,8%,0%,15%,2%,120,3,False,False,True,False,False,False,False,True
Java Chip,Frappuccino® Light Blended Coffee,Tall,Nonfat Milk,150,3.0,2.0,0.0,0,170,30,1,27,4.0,4%,0%,10%,20%,70,1,False,False,True,False,False,False,False,True
Java Chip,Frappuccino® Light Blended Coffee,Grande,Nonfat Milk,220,4.0,3.0,0.0,0,240,43,2,39,5.0,6%,0%,10%,25%,105,2,False,False,True,False,False,False,False,True
Java Chip,Frappuccino® Light Blended Coffee,Venti,Nonfat Milk,290,5.0,4.0,0.0,5,320,58,2,52,7.0,8%,0%,15%,35%,165,3,False,False,True,False,False,False,False,True
Strawberries & Crème (Without Whipped Cream),Frappuccino® Blended Crème,Tall,Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,6%,6%,10%,2%,0,1,False,False,True,False,False,False,False,True
Strawberries & Crème (Without Whipped Cream),Frappuccino® Blended Crème,Grande,Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,8%,6%,15%,4%,0,2,False,False,True,False,False,False,False,True
Strawberries & Crème (Without Whipped Cream),Frappuccino® Blended Crème,Venti,Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,10%,8%,20%,4%,0,3,False,False,True,False,False,False,False,True
Vanilla Bean (Without Whipped Cream),Frappuccino® Blended Crème,Tall,Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,6%,0%,10%,0%,0,1,False,False,True,False,False,False,False,True
Vanilla Bean (Without Whipped Cream),Frappuccino® Blended Crème,Grande,Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,8%,0%,15%,0%,0,2,False,False,True,False,False,False,False,True
